campaign_id,channel,first_touch_revenue,last_touch_revenue,linear_revenue,objective,total_spend,total_impressions,total_clicks,ctr,cpc,cpm,attributed_transactions,attributed_customers,first_touch_roas,last_touch_roas,linear_roas,cost_per_conversion,cac
21,Email,3566.67,2410.42,2990.623,Acquisition,7703.54,389555.0,20488.0,0.052593343687027505,0.376002538071066,19.775230711966216,33,33,0.4629910404826872,0.31289770676857653,0.3882141197423522,233.44060606060606,233.44060606060606
19,Affiliate,2927.61,2961.09,2890.4083333333333,Acquisition,26764.67,1501434.0,40698.0,0.027106086581228345,0.657640916015529,17.826071608875246,31,31,0.10938337741507742,0.11063428019101301,0.1079934231706699,863.3764516129032,863.3764516129032
30,Social,3064.0,2218.46,2591.9133333333334,Acquisition,54047.58,2716006.0,88595.0,0.03261958920562031,0.6100522602855691,19.899654124475425,31,31,0.05669078985590104,0.04104642613045764,0.047956140373599215,1743.4703225806452,1743.4703225806452
4,Display,2679.63,2469.0,2574.315,Reactivation,37014.56,2248858.0,35549.0,0.015807578779985218,1.0412264761315366,16.459269549255666,29,29,0.07239394443699994,0.06670348100855447,0.06954871272277721,1276.3641379310343,1276.3641379310343
17,Display,2247.0299999999997,2785.64,2546.2316666666666,Retention,7439.72,377724.0,5816.0,0.01539748599506518,1.279181568088033,19.696180279781004,28,27,0.3020315280682606,0.3744280698735974,0.3422483193811953,265.70428571428573,275.5451851851852
37,Paid Search,2578.5299999999997,2164.08,2404.765,Cross-sell,38429.73,2172364.0,115527.0,0.05318031416466117,0.3326471733880392,17.69028118676244,29,29,0.0670972707848845,0.056312651689199994,0.0625756413068736,1325.163103448276,1325.163103448276
43,Paid Search,1620.9,2886.82,2253.86,Cross-sell,34621.93,1766604.0,89621.0,0.05073066742744837,0.3863149261891744,19.598014042762273,22,22,0.04681714739761764,0.08338125575321768,0.06509920157541767,1573.7240909090908,1573.7240909090908
34,Email,2261.81,1898.73,2059.555,Reactivation,9973.95,552678.0,30883.0,0.055878829987804836,0.3229592332351132,18.046584086936697,24,24,0.22677174038369952,0.19036891101318934,0.20649341534697885,415.58125,415.58125
24,Display,1950.08,2091.87,2027.3283333333334,Acquisition,37029.34,2129853.0,32930.0,0.015461160934580932,1.1244864864864863,17.385866536329033,23,23,0.052663104446366044,0.056492230215283344,0.05474924298767771,1609.971304347826,1609.971304347826
22,Affiliate,2111.1800000000003,1725.91,1903.4316666666666,Reactivation,27950.93,1559364.0,41995.0,0.02693085129578469,0.6655775687581855,17.924570530036604,26,26,0.07553165493956732,0.061747855974738586,0.06809904595899552,1075.0357692307693,1075.0357692307693
15,Social,1761.39,1921.5,1849.525,Retention,6633.75,421444.0,15578.0,0.03696339252664648,0.42584092951598407,15.740525431611317,25,25,0.26551950254381007,0.2896551724137931,0.27880535142264934,265.35,265.35
11,Affiliate,1627.05,2044.79,1821.3033333333333,Reactivation,26442.4,1425475.0,38651.0,0.027114470615058138,0.6841323639750589,18.549886879811993,19,19,0.061531857925150514,0.07732997004810456,0.06887814015873496,1391.7052631578947,1391.7052631578947
42,Paid Search,1997.57,1636.39,1799.806,Retention,45119.14,2318607.0,118629.0,0.05116391005461469,0.3803381972367634,19.459589313756062,27,27,0.04427322861207018,0.036268200147431894,0.03989007769208367,1671.0792592592593,1671.0792592592593
16,Email,1773.63,1828.8,1796.2125,Reactivation,12058.87,705468.0,38463.0,0.05452125397608396,0.313518706289161,17.09343301184462,24,24,0.14708094539538116,0.151656000935411,0.14895363330063263,502.4529166666667,502.4529166666667
