campaign_id,channel,first_touch_revenue,last_touch_revenue,linear_revenue
0,No Campaign,97154.58,98729.8,98357.303
21,Email,3566.67,2410.42,2990.623
19,Affiliate,2927.61,2961.09,2890.4083333333333
30,Social,3064.0,2218.46,2591.9133333333334
4,Display,2679.63,2469.0,2574.315
17,Display,2247.0299999999997,2785.64,2546.2316666666666
37,Paid Search,2578.5299999999997,2164.08,2404.765
43,Paid Search,1620.9,2886.82,2253.86
34,Email,2261.81,1898.73,2059.555
24,Display,1950.08,2091.87,2027.3283333333334
22,Affiliate,2111.1800000000003,1725.91,1903.4316666666666
15,Social,1761.39,1921.5,1849.525
11,Affiliate,1627.05,2044.79,1821.3033333333333
42,Paid Search,1997.57,1636.39,1799.806
16,Email,1773.63,1828.8,1796.2125
27,Display,1710.86,1775.41,1753.995
20,Social,1618.1399999999999,1891.43,1741.96
9,Social,1795.17,1611.49,1703.33
45,Affiliate,1664.29,1720.25,1692.27
3,Email,1522.78,1868.53,1686.1383333333333
46,Social,1828.53,1420.52,1650.105
25,Paid Search,1368.18,1898.93,1625.2133333333334
1,Paid Search,1715.5900000000001,1563.48,1617.5466666666666
8,Paid Search,1839.48,1405.3400000000001,1605.3433333333332
14,Email,1679.76,1420.7,1591.255
6,Affiliate,1362.75,1842.15,1555.5349999999999
2,Email,1814.9499999999998,1304.56,1524.1183333333333
35,Display,1376.6100000000001,1681.8,1483.4550000000002
33,Display,1472.24,1437.52,1454.88
26,Email,1657.97,1254.9,1430.2116666666666
13,Display,1281.38,1638.22,1418.915
50,Email,1486.6399999999999,1262.51,1412.936
18,Affiliate,1402.55,1432.24,1373.56
39,Affiliate,1516.44,1139.81,1358.575
36,Display,1255.47,1432.93,1340.1333333333332
10,Email,1002.64,1619.62,1311.1299999999999
29,Email,1333.54,1238.11,1299.2833333333333
23,Paid Search,1224.3600000000001,1339.13,1274.3683333333333
32,Social,1616.27,983.51,1273.1366666666665
41,Social,1078.92,1738.44,1268.6966666666667
47,Affiliate,1190.83,1388.27,1255.5716666666667
31,Affiliate,1218.62,1087.31,1187.6816666666666
44,Affiliate,1274.89,1010.3,1165.2450000000001
5,Social,1111.75,1171.03,1146.9360000000001
40,Display,1200.83,1016.9000000000001,1123.7333333333333
12,Email,1263.54,830.07,1048.0816666666667
28,Affiliate,936.74,1073.17,1004.955
7,Paid Search,845.44,1089.0,958.8783333333333
38,Paid Search,1139.55,775.5699999999999,942.2875
49,Paid Search,984.97,810.34,903.3943333333334
48,Paid Search,650.96,818.5,715.8533333333334
