date,campaign_id,channel,objective,impressions,clicks,spend,currency,ctr,cpc,cpm
2021-10-25,1,Paid Search,Cross-sell,34839,1949,967.27,AED,0.0559430523264158,0.4962904053360698,27.764000114813857
2021-10-26,1,Paid Search,Cross-sell,72182,2920,881.53,AED,0.04045329860630074,0.30189383561643834,12.21260147959325
2021-10-27,1,Paid Search,Cross-sell,130138,8972,1113.44,AED,0.06894219981865404,0.12410164957646011,8.555840722924895
2021-10-28,1,Paid Search,Cross-sell,32938,1397,1003.82,AED,0.04241301839820268,0.718554044380816,30.4760459044265
2021-10-29,1,Paid Search,Cross-sell,51658,2756,837.62,AED,0.053350884664524374,0.3039259796806967,16.214719888497424
2021-10-30,1,Paid Search,Cross-sell,42584,1924,837.31,AED,0.04518128874694721,0.43519230769230766,19.66254931429645
2021-10-31,1,Paid Search,Cross-sell,48051,2297,763.44,AED,0.0478033755801128,0.33236395298215066,15.888118873696698
2021-11-01,1,Paid Search,Cross-sell,46403,2899,942.63,AED,0.062474408982177876,0.3251569506726457,20.313988319720707
2021-11-02,1,Paid Search,Cross-sell,37895,1387,909.32,AED,0.03660113471434226,0.655602018745494,23.995777807098566
2021-11-03,1,Paid Search,Cross-sell,29004,1188,707.81,AED,0.04095986760446835,0.5957996632996633,24.403875327541027
2021-11-04,1,Paid Search,Cross-sell,30939,1559,819.09,AED,0.05038947606580691,0.5253944836433612,26.474352758654124
2021-11-05,1,Paid Search,Cross-sell,76211,3988,860.81,AED,0.052328404036162755,0.21585005015045133,11.29508863549881
2021-11-06,1,Paid Search,Cross-sell,61601,3277,1011.27,AED,0.053197188357331865,0.3085962770826976,16.416454278339636
2021-11-07,1,Paid Search,Cross-sell,32307,1339,735.35,AED,0.041446126226514377,0.5491784914115011,22.761321075927818
2021-11-08,1,Paid Search,Cross-sell,96244,4028,999.91,AED,0.04185195960267653,0.2482398212512413,10.389322970782594
2021-11-09,1,Paid Search,Cross-sell,100132,4644,923.34,AED,0.04637878001038629,0.19882428940568475,9.221227979067631
2021-11-10,1,Paid Search,Cross-sell,23062,1095,700.55,AED,0.0474807041887087,0.6397716894977169,30.376810337351483
2021-11-11,1,Paid Search,Cross-sell,51523,2781,803.0,AED,0.05397589426081556,0.288745055735347,15.585272596704385
2021-11-12,1,Paid Search,Cross-sell,94274,6555,943.96,AED,0.06953136601820226,0.14400610221205187,10.012941001760826
2021-11-13,1,Paid Search,Cross-sell,29399,1233,848.2,AED,0.041940202047688696,0.6879156528791566,28.85132147351951
2021-11-14,1,Paid Search,Cross-sell,36060,1355,1039.41,AED,0.03757626178591237,0.7670922509225093,28.824459234608987
2021-11-15,1,Paid Search,Cross-sell,58033,2266,1025.95,AED,0.03904674926335016,0.4527581641659312,17.678734513121846
2021-11-16,1,Paid Search,Cross-sell,55799,2077,944.93,AED,0.03722288929909138,0.45494944631680306,16.93453287693328
2021-11-17,1,Paid Search,Cross-sell,62935,2919,1031.93,AED,0.04638118693890522,0.3535217540253512,16.39675856041948
2021-11-18,1,Paid Search,Cross-sell,31604,1628,1009.91,AED,0.05151246677635742,0.6203378378378378,31.955132261739017
2021-11-19,1,Paid Search,Cross-sell,96475,5784,1083.33,AED,0.05995335579165587,0.18729771784232363,11.229126716766002
2021-11-20,1,Paid Search,Cross-sell,32932,1721,949.0,AED,0.052259200777359405,0.5514235909355026,28.816956152070933
