campaign_id,channel,objective,total_spend,total_impressions,total_clicks,ctr,cpc,cpm
1,Paid Search,Cross-sell,30527.56,1791594,89003,0.049678107874886836,0.34299473051470175,17.039329223027092
2,Email,Retention,8413.42,441507,24050,0.054472522519461754,0.34983035343035346,19.05614180522619
3,Email,Reactivation,9822.33,555513,32454,0.05842167510031268,0.3026539101497504,17.68154840660795
4,Display,Reactivation,37014.56,2248858,35549,0.015807578779985218,1.0412264761315366,16.459269549255666
5,Social,Acquisition,70308.4,4342746,153170,0.03527031053623675,0.4590220016974603,16.189848542834415
6,Affiliate,Reactivation,16248.880000000001,872887,24554,0.0281296433558983,0.6617610165349842,18.61510138196582
7,Paid Search,Cross-sell,36158.5,2160099,109773,0.05081850415189304,0.32939338452989353,16.739279079338495
8,Paid Search,Cross-sell,35874.29,1957576,104589,0.05342781072101415,0.34300251460478637,18.32587342713642
9,Social,Retention,44525.07,2527377,90546,0.035826075809030467,0.4917397786760321,17.617106589163388
10,Email,Cross-sell,9224.65,514550,29951,0.05820814303760567,0.3079913859303529,17.927606646584394
11,Affiliate,Reactivation,26442.4,1425475,38651,0.027114470615058138,0.6841323639750589,18.549886879811993
12,Email,Acquisition,7297.17,404874,22897,0.0565533968592698,0.31869546228763596,18.023310956001126
13,Display,Reactivation,42081.78,2276557,36084,0.01585025105894559,1.166217159960093,18.484834774617987
14,Email,Retention,1338.84,61380,3710,0.06044314108830238,0.3608733153638814,21.81231671554252
15,Social,Retention,6633.75,421444,15578,0.03696339252664648,0.42584092951598407,15.740525431611317
16,Email,Reactivation,12058.87,705468,38463,0.05452125397608396,0.313518706289161,17.09343301184462
17,Display,Retention,7439.72,377724,5816,0.01539748599506518,1.279181568088033,19.696180279781004
18,Affiliate,Retention,15931.56,853867,23765,0.027832203375935595,0.6703791289711761,18.65812825650833
19,Affiliate,Acquisition,26764.67,1501434,40698,0.027106086581228345,0.657640916015529,17.826071608875246
20,Social,Reactivation,42020.13,2114244,70013,0.03311491010498315,0.6001761101509719,19.874777934807902
21,Email,Acquisition,7703.54,389555,20488,0.052593343687027505,0.376002538071066,19.775230711966216
22,Affiliate,Reactivation,27950.93,1559364,41995,0.02693085129578469,0.6655775687581855,17.924570530036604
23,Paid Search,Retention,57895.34,3016265,157173,0.05210848516294159,0.36835423386968497,19.194381130305192
24,Display,Acquisition,37029.34,2129853,32930,0.015461160934580932,1.1244864864864863,17.385866536329033
25,Paid Search,Cross-sell,22771.94,1179276,66065,0.056021660747780845,0.34468992658745173,19.310102130459704
26,Email,Reactivation,14291.17,767282,39451,0.0514165587098355,0.3622511469924717,18.625707367043667
27,Display,Retention,4350.48,187602,3083,0.01643372671933135,1.4111190398962048,23.18994467009946
28,Affiliate,Acquisition,4441.28,246358,8070,0.03275720699145147,0.5503444857496902,18.02774823630651
29,Email,Acquisition,13360.93,791936,42803,0.054048559479553906,0.31214938205265985,16.871224442379184
30,Social,Acquisition,54047.58,2716006,88595,0.03261958920562031,0.6100522602855691,19.899654124475425
31,Affiliate,Cross-sell,14004.27,738922,21108,0.028565937947442357,0.6634579306424104,18.952298077469614
32,Social,Reactivation,50352.7,2784683,96587,0.03468509701104219,0.5213196392889312,18.0820222624981
33,Display,Cross-sell,31349.16,1770911,29356,0.016576778844334922,1.0678961711404824,17.702278657707815
34,Email,Reactivation,9973.95,552678,30883,0.055878829987804836,0.3229592332351132,18.046584086936697
35,Display,Acquisition,11819.68,646830,11006,0.01701528995253776,1.07393058331819,18.273240264057016
36,Display,Reactivation,34474.8,1975345,32577,0.016491802697756595,1.0582558246615712,17.452546264070328
37,Paid Search,Cross-sell,38429.73,2172364,115527,0.05318031416466117,0.3326471733880392,17.69028118676244
38,Paid Search,Reactivation,41320.27,2359237,124706,0.05285861488269301,0.3313414751495517,17.51425142959355
39,Affiliate,Retention,17026.15,836492,23085,0.02759739483461886,0.7375416937405243,20.354229329150787
40,Display,Cross-sell,22218.07,1155995,17531,0.015165290507311883,1.2673589641207004,19.21986686793628
41,Social,Retention,4295.67,219449,9122,0.04156774466960433,0.4709131769348827,19.57479870038141
42,Paid Search,Retention,45119.14,2318607,118629,0.05116391005461469,0.3803381972367634,19.459589313756062
43,Paid Search,Cross-sell,34621.93,1766604,89621,0.05073066742744837,0.3863149261891744,19.598014042762273
44,Affiliate,Reactivation,25862.57,1545964,43831,0.02835188917723828,0.5900520179781433,16.729089422522126
45,Affiliate,Retention,18140.89,974642,26607,0.02729925449549681,0.6818089224640133,18.612875291645548
46,Social,Cross-sell,18574.66,1077275,39155,0.036346336822074214,0.47438794534542206,17.242264045856444
47,Affiliate,Cross-sell,18792.47,1103573,30050,0.02722973468905093,0.625373377703827,17.028751156470847
48,Paid Search,Acquisition,95519.6,4733128,248160,0.052430443461491005,0.38491134751773054,20.181072643714685
49,Paid Search,Reactivation,41857.53,2529863,134102,0.05300761345574839,0.3121320338249989,16.545374196152125
50,Email,Retention,5300.46,274795,14524,0.052853945668589315,0.3649449187551639,19.288778907913173
